Network_type,Operator,State,Signal_strength_dBm,No_of_Issues_Resolved,Plan_Type,Months_Active,Latency_Score,Customer_Churn
5G,Vi,Karnataka,-82.58,6,Yearly Plan,24,26.040907228630296,0
5G,Vi,West Bengal,-78.49,9,Yearly Plan,24,24.03770676186546,0
4G,Vi,Gujarat,-95.92,1,Monthly Plan,15,54.5367768318348,1
5G,Vi,Tamil Nadu,-88.9,8,Yearly Plan,31,39.40875332440271,0
4G,Vi,Kerala,-88.61,4,Monthly Plan,71,40.61056160053956,0
4G,Vi,West Bengal,-109.18,4,Yearly Plan,36,76.36855092516565,0
4G,Vi,Uttar Pradesh,-90.37,4,3 Months Plan,29,45.554000894514616,0
4G,Vi,Karnataka,-94.4,3,3 Months Plan,9,51.107665845638905,1
4G,Vi,Delhi,-90.86,1,Monthly Plan,22,48.3271442847495,1
4G,Vi,Uttar Pradesh,-106.34,9,Yearly Plan,27,71.81500250888307,0
5G,Vi,Telangana,-93.44,2,Yearly Plan,12,48.68929655693627,1
4G,Vi,Telangana,-78.75,1,3 Months Plan,46,26.589907857811827,0
5G,Vi,Delhi,-77.27,3,3 Months Plan,5,18.49997343725164,1
4G,Vi,Tamil Nadu,-106.16,0,Yearly Plan,6,75.00134876954193,1
4G,Vi,West Bengal,-107.42,5,Monthly Plan,13,76.45156603611807,1
5G,Vi,Rajasthan,-84.71,1,3 Months Plan,14,31.61518738835341,1
5G,Vi,West Bengal,-86.42,7,3 Months Plan,19,35.94986038312593,0
4G,Vi,Karnataka,-109.51,5,3 Months Plan,33,79.16421929028034,0
5G,Vi,Uttar Pradesh,-90.84,11,3 Months Plan,36,43.84026503879544,0
5G,Vi,Kerala,-72.32,1,3 Months Plan,11,11.14204153814113,1
5G,Vi,Telangana,-77.6,1,Monthly Plan,13,20.317929461349976,1
5G,Vi,Telangana,-77.91,6,Yearly Plan,11,20.384963344485,1
5G,Vi,Karnataka,-77.9,0,Monthly Plan,18,18.685137986442587,1
5G,Vi,Maharashtra,-100.73,4,Yearly Plan,13,61.608154885736255,1
4G,Vi,Telangana,-106.71,2,3 Months Plan,24,75.06480544513718,1
5G,Vi,Telangana,-94.2,3,3 Months Plan,19,46.31948554239915,1
5G,Vi,Kerala,-78.97,3,Monthly Plan,8,20.61010580697834,1
5G,Vi,West Bengal,-72.5,6,Monthly Plan,15,12.309724060059551,0
4G,Vi,Maharashtra,-97.09,0,Yearly Plan,16,55.77605248425257,1
5G,Vi,Maharashtra,-97.3,2,3 Months Plan,9,53.43577342155426,1
4G,Vi,Gujarat,-90.65,0,Monthly Plan,21,43.95360677017028,1
5G,Vi,Telangana,-97.74,11,Yearly Plan,63,54.3329468579267,0
4G,Vi,Telangana,-79.96,0,Yearly Plan,20,26.13195365935329,1
4G,Vi,Tamil Nadu,-105.29,0,Monthly Plan,17,69.70527643544168,1
4G,Vi,Delhi,-106.32,4,3 Months Plan,18,70.20941864554662,1
5G,Vi,Gujarat,-91.07,6,3 Months Plan,34,43.5399814728209,0
4G,Vi,Maharashtra,-104.16,6,3 Months Plan,62,69.0811247224555,0
5G,Vi,Delhi,-94.39,2,Yearly Plan,51,52.46014105489534,0
4G,Vi,Gujarat,-84.98,0,Yearly Plan,1,35.354748332062215,1
4G,Vi,Tamil Nadu,-80.66,2,3 Months Plan,24,29.612957288501264,1
4G,Vi,West Bengal,-91.78,0,Monthly Plan,1,47.093111204018136,1
4G,Vi,Gujarat,-120.0,10,Monthly Plan,49,97.3087613376834,0
5G,Vi,Gujarat,-79.05,7,3 Months Plan,18,19.128495559236992,0
4G,Vi,Karnataka,-88.23,5,Monthly Plan,2,41.423675808211854,1
4G,Vi,Rajasthan,-79.16,5,Monthly Plan,24,27.90376851323972,0
5G,Vi,Rajasthan,-90.82,4,3 Months Plan,19,45.85478784266597,1
5G,Vi,Maharashtra,-104.28,7,Monthly Plan,61,67.22609746481638,0
4G,Vi,Karnataka,-96.26,10,3 Months Plan,53,57.27835256413121,0
4G,Vi,Gujarat,-83.73,6,Yearly Plan,56,33.45610377345154,0
4G,Vi,Telangana,-91.43,1,3 Months Plan,11,46.9782057766826,1
4G,Vi,Telangana,-89.52,2,3 Months Plan,18,42.82916799616775,1
4G,Vi,Maharashtra,-90.08,3,Monthly Plan,15,43.92840568592727,1
4G,Vi,Telangana,-91.5,3,Yearly Plan,38,48.30342886615202,0
5G,Vi,Rajasthan,-79.69,4,Yearly Plan,70,23.715938646582032,0
4G,Vi,Karnataka,-95.13,12,Monthly Plan,72,51.58325900088195,0
4G,Vi,Gujarat,-80.32,1,3 Months Plan,18,28.179464575880964,0
5G,Vi,Rajasthan,-81.35,3,3 Months Plan,53,25.895622941567886,0
5G,Vi,Maharashtra,-117.58,4,Monthly Plan,10,93.50912114774432,1
5G,Vi,Telangana,-78.24,3,Monthly Plan,47,22.26279181569494,0
4G,Vi,Telangana,-84.87,7,3 Months Plan,8,34.944227296626494,1
4G,Vi,Gujarat,-105.18,9,Monthly Plan,42,69.28106428976345,0
5G,Vi,Karnataka,-83.63,12,Yearly Plan,20,30.926690507730427,0
5G,Vi,Uttar Pradesh,-86.5,13,3 Months Plan,31,34.03179773028932,0
5G,Vi,Delhi,-108.31,2,Yearly Plan,3,76.11498807074881,1
5G,Vi,Tamil Nadu,-82.77,3,Monthly Plan,61,30.97792991064745,0
5G,Vi,Maharashtra,-77.03,3,3 Months Plan,9,17.768312579181462,1
4G,Vi,Telangana,-95.63,6,Yearly Plan,13,53.144353653602096,0
5G,Vi,Telangana,-88.22,6,3 Months Plan,66,38.78961770719216,0
5G,Vi,Karnataka,-98.98,0,3 Months Plan,7,56.8749355319296,1
5G,Vi,Delhi,-91.7,1,Yearly Plan,23,44.728629903573164,1
4G,Vi,Gujarat,-96.77,2,3 Months Plan,2,57.57497456161964,1
5G,Vi,Kerala,-88.99,2,Yearly Plan,31,38.73176417658828,0
4G,Vi,Kerala,-97.15,5,Monthly Plan,5,57.231289742071326,1
4G,Vi,Maharashtra,-120.0,5,Yearly Plan,52,96.08204161051954,0
4G,Vi,Telangana,-102.58,0,Monthly Plan,24,64.3877742450021,1
5G,Vi,Rajasthan,-116.75,3,Monthly Plan,12,90.75479617119122,1
4G,Vi,West Bengal,-97.7,1,Yearly Plan,4,60.1015928641495,1
4G,Vi,Karnataka,-102.54,2,3 Months Plan,4,64.89346416547318,1
4G,Vi,Uttar Pradesh,-88.76,6,Yearly Plan,17,43.64806235689166,0
4G,Vi,Kerala,-103.69,6,3 Months Plan,6,67.52481647353133,1
5G,Vi,Rajasthan,-85.25,1,Monthly Plan,17,30.71632117745373,1
4G,Vi,Uttar Pradesh,-100.29,1,3 Months Plan,24,61.45855071215793,1
4G,Vi,Karnataka,-104.4,0,Yearly Plan,11,66.92492836451946,1
4G,Vi,West Bengal,-117.45,0,3 Months Plan,11,91.32488459311912,1
4G,Vi,West Bengal,-101.71,7,Monthly Plan,24,65.12835013324582,1
5G,Vi,Rajasthan,-80.96,1,Monthly Plan,7,21.406073363492634,1
4G,Vi,Gujarat,-79.22,7,3 Months Plan,8,23.231163838083603,1
4G,Vi,Uttar Pradesh,-92.93,8,Monthly Plan,9,51.1546580338889,1
5G,Vi,Gujarat,-81.02,1,3 Months Plan,8,23.364442890134693,1
4G,Vi,Gujarat,-82.17,5,Monthly Plan,1,31.72838960854636,1
4G,Vi,Karnataka,-84.56,1,Monthly Plan,18,31.88680975555673,1
4G,Vi,Delhi,-106.79,3,Yearly Plan,17,76.6943937253117,1
5G,Vi,Delhi,-99.12,1,Monthly Plan,16,60.34960014031186,1
4G,Vi,Rajasthan,-120.0,4,Yearly Plan,16,98.164831612127,1
4G,Vi,Delhi,-92.21,3,Yearly Plan,69,47.748210619657605,0
4G,Vi,Gujarat,-79.07,8,Yearly Plan,26,26.54771809116131,0
4G,Vi,Telangana,-91.43,12,Monthly Plan,29,46.3546572308094,0
5G,Vi,Kerala,-76.64,1,3 Months Plan,14,18.406380744533607,1
5G,Vi,Maharashtra,-115.31,2,Monthly Plan,41,88.42006507071483,0
4G,Vi,Tamil Nadu,-89.95,7,3 Months Plan,13,43.303662453668665,0
4G,Vi,Karnataka,-91.85,8,Monthly Plan,17,45.06051674601914,0
5G,Vi,Kerala,-79.36,8,3 Months Plan,34,25.41096091255141,0
5G,Vi,Uttar Pradesh,-83.85,8,3 Months Plan,8,29.470221966256283,1
5G,Vi,Kerala,-87.78,2,Yearly Plan,13,37.36653422728651,1
5G,Vi,Delhi,-83.52,1,3 Months Plan,15,29.204419208084893,1
4G,Vi,Rajasthan,-103.18,7,Yearly Plan,17,65.02677090488098,1
4G,Vi,Maharashtra,-94.84,6,Monthly Plan,59,52.562494203651575,0
5G,Vi,Tamil Nadu,-103.74,3,3 Months Plan,16,67.40570755029445,1
5G,Vi,Telangana,-92.75,4,3 Months Plan,15,47.00692578296131,0
4G,Vi,Maharashtra,-103.99,2,3 Months Plan,5,67.0224898216267,1
4G,Vi,West Bengal,-120.0,3,Yearly Plan,68,93.69170690274362,0
5G,Vi,Gujarat,-82.47,12,Monthly Plan,27,28.40199080029464,0
4G,Vi,Rajasthan,-114.46,0,Yearly Plan,7,87.08958455801623,1
4G,Vi,Gujarat,-84.52,2,Monthly Plan,18,34.187039152200114,1
4G,Vi,Gujarat,-80.46,0,Monthly Plan,10,26.362573700196524,1
4G,Vi,Maharashtra,-88.6,2,Yearly Plan,18,41.32055358866927,1
4G,Vi,Telangana,-96.76,7,Yearly Plan,29,57.972401216926215,0
5G,Vi,Kerala,-79.48,0,3 Months Plan,15,21.688384495522023,1
5G,Vi,Uttar Pradesh,-79.84,2,Yearly Plan,55,25.04205622965784,0
5G,Vi,Delhi,-83.46,2,3 Months Plan,68,30.98021914823117,0
5G,Vi,Tamil Nadu,-103.67,8,Yearly Plan,35,68.89152927568514,0
5G,Vi,Karnataka,-112.15,2,Yearly Plan,22,78.85458800597488,1
4G,Vi,Karnataka,-84.86,8,Monthly Plan,49,34.40940737386138,0
4G,Vi,Delhi,-94.98,1,Yearly Plan,4,54.23307856662591,1
5G,Vi,Tamil Nadu,-116.19,0,Yearly Plan,9,87.31901049451068,1
4G,Vi,Gujarat,-87.35,0,Monthly Plan,12,40.475847209877145,1
4G,Vi,Kerala,-83.89,1,3 Months Plan,71,32.49694951413685,0
4G,Vi,Delhi,-103.48,10,3 Months Plan,54,69.74192111407153,0
4G,Vi,Maharashtra,-88.16,10,Yearly Plan,51,43.94729363427478,0
5G,Vi,Gujarat,-78.55,2,3 Months Plan,15,21.816157610184465,1
5G,Vi,Tamil Nadu,-83.12,0,Monthly Plan,22,28.5704220172495,1
5G,Vi,West Bengal,-86.92,1,Yearly Plan,6,36.62209483315737,1
5G,Vi,West Bengal,-96.62,0,Yearly Plan,22,56.422453924624335,1
4G,Vi,West Bengal,-89.27,5,Yearly Plan,3,43.82664308445407,1
4G,Vi,Uttar Pradesh,-108.43,8,Monthly Plan,47,74.49075558764619,0
5G,Vi,Maharashtra,-78.58,6,3 Months Plan,22,21.00166041473588,0
4G,Vi,Rajasthan,-120.0,5,Monthly Plan,21,95.23248098121118,1
5G,Vi,Tamil Nadu,-97.93,10,Yearly Plan,67,54.66742212528896,0
5G,Vi,Tamil Nadu,-81.44,5,Monthly Plan,12,27.060911431909428,1
4G,Vi,Uttar Pradesh,-88.24,2,Yearly Plan,12,41.89523614201489,1
4G,Vi,Uttar Pradesh,-102.64,2,Monthly Plan,29,67.26861863006536,0
4G,Vi,Kerala,-97.16,7,3 Months Plan,5,57.11778901994966,1
5G,Vi,Tamil Nadu,-87.21,3,Yearly Plan,62,34.95732935008004,0
5G,Vi,Delhi,-91.98,5,Monthly Plan,41,47.35990498696613,0
5G,Vi,Rajasthan,-86.17,6,Monthly Plan,49,34.2862483195038,0
5G,Vi,Tamil Nadu,-98.86,1,3 Months Plan,23,56.822858228330745,1
4G,Vi,Tamil Nadu,-97.76,3,Monthly Plan,15,59.0900525083629,1
5G,Vi,Tamil Nadu,-88.63,4,Yearly Plan,48,36.263657171878805,0
4G,Vi,Uttar Pradesh,-86.61,1,Yearly Plan,13,38.75765328166533,1
5G,Vi,Kerala,-101.39,1,Monthly Plan,2,61.67228735991295,1
5G,Vi,West Bengal,-82.39,5,3 Months Plan,45,26.08613912071615,0
5G,Vi,Tamil Nadu,-84.25,3,Monthly Plan,30,30.6785081763021,0
4G,Vi,Delhi,-93.19,0,3 Months Plan,9,50.43790067659712,1
5G,Vi,Kerala,-91.68,5,3 Months Plan,28,45.76510522484163,0
5G,Vi,Tamil Nadu,-94.7,9,Yearly Plan,65,50.98282748983425,0
4G,Vi,Kerala,-84.99,2,3 Months Plan,10,34.636256790614816,1
5G,Vi,Maharashtra,-91.98,3,Yearly Plan,69,46.64885601756508,0
5G,Vi,West Bengal,-98.78,6,Monthly Plan,19,58.22021583406875,0
5G,Vi,Rajasthan,-92.63,7,Yearly Plan,53,45.18524451041964,0
5G,Vi,Maharashtra,-93.35,8,3 Months Plan,7,48.71251774627341,1
5G,Vi,Kerala,-99.75,5,Monthly Plan,38,61.014579449793736,0
4G,Vi,Uttar Pradesh,-91.63,4,Yearly Plan,11,47.19201662589217,1
5G,Vi,Gujarat,-93.77,6,3 Months Plan,70,48.9054718891289,0
5G,Vi,Rajasthan,-79.05,2,Yearly Plan,8,19.93932874640653,1
4G,Vi,West Bengal,-89.84,9,Monthly Plan,58,42.20350441291173,0
5G,Vi,West Bengal,-81.63,2,Yearly Plan,24,28.709641946282066,1
5G,Vi,Delhi,-76.57,1,Yearly Plan,35,16.22961327198421,0
5G,Vi,Karnataka,-86.54,2,3 Months Plan,9,32.69188296372004,1
5G,Vi,Kerala,-79.99,6,3 Months Plan,37,20.929968113650503,0
4G,Vi,Delhi,-80.38,4,3 Months Plan,23,27.975056941937886,1
5G,Vi,Tamil Nadu,-104.15,6,Monthly Plan,12,68.02081173006917,0
4G,Vi,West Bengal,-81.31,0,3 Months Plan,18,28.52348298340224,1
5G,Vi,Gujarat,-101.27,0,Yearly Plan,16,62.7105518179352,1
4G,Vi,Telangana,-100.64,1,Monthly Plan,17,61.47061340452405,1
5G,Vi,Telangana,-92.31,2,Monthly Plan,11,47.30335007633468,1
4G,Vi,Rajasthan,-102.15,2,Yearly Plan,15,66.2025201356171,1
4G,Vi,Delhi,-85.8,6,Yearly Plan,21,38.74281916564459,1
5G,Vi,Gujarat,-90.29,3,3 Months Plan,3,43.22719731882415,1
5G,Vi,Kerala,-87.53,3,Yearly Plan,10,34.684141819193606,1
4G,Vi,Karnataka,-93.82,3,Monthly Plan,19,51.25328995157938,1
4G,Vi,Gujarat,-85.87,3,Yearly Plan,71,37.59798236879758,0
5G,Vi,Delhi,-87.72,3,3 Months Plan,32,35.87693911125167,0
4G,Vi,Uttar Pradesh,-110.81,1,3 Months Plan,12,81.36129380730362,1
4G,Vi,Maharashtra,-116.86,11,3 Months Plan,62,89.76645891069211,0
4G,Vi,Tamil Nadu,-111.93,5,Yearly Plan,48,79.9423355431784,0
4G,Vi,Maharashtra,-103.1,6,Monthly Plan,49,67.38038351712565,0
4G,Vi,Delhi,-113.88,2,3 Months Plan,20,87.47494942564525,1
5G,Vi,Gujarat,-82.2,3,3 Months Plan,4,27.10889500103302,1
4G,Vi,Telangana,-87.42,9,3 Months Plan,63,41.61162649916233,0
5G,Vi,West Bengal,-79.47,4,3 Months Plan,12,20.831930302879385,0
4G,Vi,Kerala,-120.0,3,3 Months Plan,22,96.14016241638126,1
5G,Vi,Delhi,-105.93,10,Yearly Plan,30,69.20813069194378,0
4G,Vi,Gujarat,-90.98,1,Yearly Plan,16,48.858046162686975,1
5G,Vi,Kerala,-113.63,1,Yearly Plan,14,84.56908412686755,1
5G,Vi,Delhi,-88.12,6,3 Months Plan,45,37.28039988164049,0
4G,Vi,Gujarat,-97.26,12,Yearly Plan,44,57.782489814757774,0
4G,Vi,Rajasthan,-102.86,1,3 Months Plan,4,67.10348644281943,1
4G,Vi,Maharashtra,-93.83,6,Monthly Plan,46,50.08588239163612,0
4G,Vi,Maharashtra,-89.92,8,Monthly Plan,42,43.14666679537964,0
5G,Vi,West Bengal,-87.67,7,Yearly Plan,69,40.37126449963643,0
4G,Vi,West Bengal,-97.09,8,Monthly Plan,42,54.70276632041614,0
4G,Vi,Tamil Nadu,-101.87,8,3 Months Plan,33,66.0574475914743,0
4G,Vi,Rajasthan,-93.53,0,Yearly Plan,2,50.94914673082447,1
5G,Vi,Delhi,-111.43,5,3 Months Plan,25,81.90352033294995,0
5G,Vi,Maharashtra,-100.94,8,Yearly Plan,49,58.751897379094856,0
4G,Vi,Gujarat,-99.29,13,3 Months Plan,47,60.78535342117247,0
5G,Vi,Gujarat,-94.04,0,3 Months Plan,3,47.36843161745062,1
5G,Vi,Maharashtra,-87.49,13,3 Months Plan,17,39.759408991067886,0
4G,Vi,Telangana,-101.14,7,3 Months Plan,42,61.79712822518684,0
4G,Vi,Kerala,-97.99,2,Yearly Plan,19,59.73244516842219,1
5G,Vi,Delhi,-84.23,5,Yearly Plan,19,32.6879492831851,0
5G,Vi,Tamil Nadu,-116.09,10,3 Months Plan,20,90.80879042899667,0
5G,Vi,Rajasthan,-81.62,0,Monthly Plan,8,27.38284806517171,1
5G,Vi,Gujarat,-80.31,0,3 Months Plan,11,22.540999315133625,1
5G,Vi,Rajasthan,-101.52,3,Yearly Plan,48,63.68078383735308,0
5G,Vi,West Bengal,-82.29,9,Yearly Plan,46,29.029420853766112,0
4G,Vi,Gujarat,-107.39,11,Monthly Plan,20,73.86416771428142,0
4G,Vi,Uttar Pradesh,-106.12,0,Yearly Plan,9,70.43796720488035,1
5G,Vi,Gujarat,-99.37,2,Monthly Plan,17,56.06421365419783,1
4G,Vi,Karnataka,-109.78,9,Yearly Plan,19,78.6836127159044,0
5G,Vi,Karnataka,-72.63,7,Monthly Plan,20,9.678264164364652,0
5G,Vi,Tamil Nadu,-93.08,5,Yearly Plan,23,48.33280011012568,1
5G,Vi,Tamil Nadu,-78.69,6,Monthly Plan,25,23.97463372616623,0
5G,Vi,Karnataka,-99.15,8,3 Months Plan,59,58.37355554072341,0
5G,Vi,Telangana,-85.56,0,Yearly Plan,4,33.193809639877266,1
4G,Vi,Kerala,-100.65,0,Yearly Plan,2,61.43745433678285,1
4G,Vi,West Bengal,-114.66,0,Monthly Plan,4,86.28729882001022,1
5G,Vi,Kerala,-84.34,9,Yearly Plan,46,31.25917162577628,0
5G,Vi,Karnataka,-104.22,0,3 Months Plan,6,67.03560975094176,1
5G,Vi,Tamil Nadu,-84.15,1,3 Months Plan,8,27.582336473592367,1
5G,Vi,Kerala,-85.2,1,Monthly Plan,8,30.96554576089281,1
5G,Vi,Rajasthan,-95.46,5,Monthly Plan,21,52.90850115880063,1
5G,Vi,Telangana,-82.02,3,Yearly Plan,27,27.08070199055973,0
5G,Vi,Gujarat,-76.14,8,3 Months Plan,52,16.607624150822108,0
5G,Vi,Kerala,-83.46,10,Monthly Plan,12,30.20795863717628,0
5G,Vi,Rajasthan,-102.54,1,3 Months Plan,1,64.91609285724668,1
5G,Vi,Tamil Nadu,-87.99,0,Yearly Plan,22,38.917131994639966,1
4G,Vi,Karnataka,-92.95,5,3 Months Plan,22,49.27468520336945,1
4G,Vi,Kerala,-86.64,13,Monthly Plan,23,37.37472219392525,0
5G,Vi,Maharashtra,-76.66,2,Yearly Plan,17,18.18810338469053,1
5G,Vi,West Bengal,-97.28,1,Monthly Plan,8,55.65501934579715,1
5G,Vi,Tamil Nadu,-92.84,1,3 Months Plan,6,48.28233674075536,1
5G,Vi,Kerala,-90.39,5,Monthly Plan,63,44.49303181500823,0
5G,Vi,Uttar Pradesh,-80.15,0,Yearly Plan,10,22.197308568598363,1
4G,Vi,Karnataka,-99.32,7,Monthly Plan,37,59.12364772411047,0
5G,Vi,Uttar Pradesh,-89.99,1,Monthly Plan,21,40.07337704737844,0
4G,Vi,Rajasthan,-84.73,2,Monthly Plan,23,35.22187890116982,1
4G,Vi,Kerala,-106.0,1,Yearly Plan,2,71.88561320375771,1
4G,Vi,Karnataka,-94.1,4,3 Months Plan,19,50.52886592044684,1
4G,Vi,West Bengal,-98.43,2,Monthly Plan,8,58.57058372946514,1
5G,Vi,Karnataka,-110.14,0,Monthly Plan,2,77.74553585331141,1
5G,Vi,Telangana,-92.92,12,3 Months Plan,51,45.74478262375631,0
4G,Vi,Delhi,-88.77,1,Monthly Plan,10,42.91468222977062,1
4G,Vi,Kerala,-120.0,7,3 Months Plan,51,95.73368339222816,0
4G,Vi,Maharashtra,-112.4,12,Yearly Plan,33,82.05173685487217,0
5G,Vi,Kerala,-73.3,10,Yearly Plan,29,10.908009890282944,0
4G,Vi,Rajasthan,-111.87,5,Yearly Plan,71,83.03596682683208,0
4G,Vi,Uttar Pradesh,-102.01,2,Monthly Plan,3,65.72377642501914,1
4G,Vi,Tamil Nadu,-80.12,10,3 Months Plan,38,25.87103617279503,0
5G,Vi,Telangana,-97.5,3,3 Months Plan,14,55.78708425159154,0
4G,Vi,Tamil Nadu,-102.92,3,3 Months Plan,12,66.31513541907823,0
5G,Vi,Karnataka,-81.47,3,3 Months Plan,5,27.5970935544142,1
4G,Vi,Telangana,-89.7,3,3 Months Plan,57,43.07736260732482,0
5G,Vi,Kerala,-94.64,5,Yearly Plan,45,53.15427207750829,0
4G,Vi,West Bengal,-81.85,4,3 Months Plan,14,32.04063943079735,1
5G,Vi,Rajasthan,-96.54,10,Yearly Plan,49,55.0533835688262,0
5G,Vi,Telangana,-106.02,0,Yearly Plan,1,70.59320875549233,1
4G,Vi,Tamil Nadu,-92.78,1,3 Months Plan,4,48.614881399984455,1
4G,Vi,Tamil Nadu,-118.61,1,3 Months Plan,7,93.04982644918748,1
5G,Vi,Rajasthan,-103.42,6,Monthly Plan,21,65.52154648088955,0
5G,Vi,Kerala,-75.52,3,Monthly Plan,12,12.978198022632242,1
5G,Vi,Telangana,-119.35,11,Yearly Plan,72,94.682540371016,0
4G,Vi,Karnataka,-95.01,9,3 Months Plan,38,53.35283938033839,0
4G,Vi,Uttar Pradesh,-89.68,1,Yearly Plan,1,44.011563548102686,1
4G,Vi,Gujarat,-86.37,0,Yearly Plan,22,39.05927611403156,1
4G,Vi,Delhi,-99.67,4,Monthly Plan,24,60.86231426269855,1
5G,Vi,Gujarat,-100.08,8,Monthly Plan,2,61.85647844511944,1
4G,Vi,Kerala,-97.11,7,Monthly Plan,62,55.47485054739006,0
4G,Vi,Rajasthan,-83.99,8,Yearly Plan,35,35.02146793697023,0
4G,Vi,Maharashtra,-98.61,6,Yearly Plan,62,58.93224259462278,0
4G,Vi,Kerala,-78.03,0,Monthly Plan,24,24.21207166457793,1
4G,Vi,Karnataka,-107.15,3,Monthly Plan,53,77.3144528620618,0
4G,Vi,Kerala,-99.94,2,3 Months Plan,67,59.48713260694463,0
5G,Vi,Telangana,-106.23,3,Yearly Plan,40,71.05754254125452,0
5G,Vi,West Bengal,-79.28,5,Monthly Plan,30,20.51987809458399,0
5G,Vi,Telangana,-82.88,0,Yearly Plan,6,29.49601752263988,1
5G,Vi,Delhi,-97.17,1,3 Months Plan,16,52.497842129767655,1
4G,Vi,Maharashtra,-98.31,0,3 Months Plan,8,59.232206540678845,1
5G,Vi,Uttar Pradesh,-75.95,7,Yearly Plan,27,17.562162011616905,0
4G,Vi,Delhi,-81.14,11,3 Months Plan,12,29.8376303225705,0
5G,Vi,Maharashtra,-92.77,1,Yearly Plan,2,46.23778871289343,1
4G,Vi,Gujarat,-91.07,6,3 Months Plan,18,47.26810513982641,1
4G,Vi,Kerala,-105.3,11,Yearly Plan,32,72.60069636632198,0
4G,Vi,Telangana,-88.83,0,Yearly Plan,9,40.09011055988198,1
5G,Vi,West Bengal,-93.84,1,Monthly Plan,10,48.8531508954853,1
4G,Vi,Telangana,-90.03,1,Monthly Plan,24,45.73916727485149,1
5G,Vi,Delhi,-82.67,7,Monthly Plan,10,28.798354078074805,1
5G,Vi,West Bengal,-97.47,6,Yearly Plan,7,55.84974565728705,1
5G,Vi,Tamil Nadu,-96.16,0,Monthly Plan,17,53.57382371999542,1
5G,Vi,Delhi,-89.97,8,Yearly Plan,17,42.16026240302976,0
4G,Vi,Rajasthan,-106.42,1,3 Months Plan,26,73.4623984102679,0
4G,Vi,Delhi,-96.6,2,3 Months Plan,55,54.77593712498663,0
4G,Vi,Rajasthan,-85.64,1,Yearly Plan,8,36.57209061666852,1
5G,Vi,Gujarat,-95.97,9,3 Months Plan,42,53.417356615874965,0
4G,Vi,Gujarat,-83.37,9,Yearly Plan,22,32.69716633625565,0
5G,Vi,Maharashtra,-90.17,12,Yearly Plan,69,43.64608201836257,0
5G,Vi,Telangana,-107.71,0,Monthly Plan,4,75.73132963747098,1
4G,Vi,Kerala,-100.85,0,Monthly Plan,12,62.513398002381024,1
5G,Vi,Uttar Pradesh,-84.72,1,Monthly Plan,22,30.799324120094745,1
5G,Vi,Uttar Pradesh,-96.69,0,Monthly Plan,18,53.2314443409005,1
5G,Vi,Kerala,-98.07,0,Monthly Plan,17,57.32596309785307,1
4G,Vi,West Bengal,-96.39,10,Monthly Plan,69,57.07937701488836,0
4G,Vi,Telangana,-92.37,3,3 Months Plan,24,48.24297885009653,1
4G,Vi,Gujarat,-86.17,2,Monthly Plan,4,34.849551846316224,1
4G,Vi,Delhi,-80.4,4,Yearly Plan,23,28.64336100908496,1
4G,Vi,Delhi,-120.0,7,3 Months Plan,43,98.08613950210136,0
5G,Vi,Tamil Nadu,-90.3,0,3 Months Plan,12,41.05481647188306,1
4G,Vi,Gujarat,-120.0,1,3 Months Plan,33,96.2888907914479,0
5G,Vi,Rajasthan,-116.63,7,Yearly Plan,66,91.52909219009298,0
5G,Vi,Gujarat,-80.7,11,Yearly Plan,19,26.15529490890132,0
4G,Vi,Uttar Pradesh,-103.7,0,Yearly Plan,19,66.8704920308602,1
4G,Vi,Delhi,-104.03,0,Yearly Plan,21,69.94061745597483,1
5G,Vi,Maharashtra,-93.3,13,Monthly Plan,15,47.01532159391506,0
5G,Vi,West Bengal,-98.77,1,3 Months Plan,8,58.653799000363904,1
5G,Vi,Tamil Nadu,-96.66,3,Yearly Plan,6,54.44263401023194,1
4G,Vi,Telangana,-82.16,3,Yearly Plan,19,31.27698674598197,1
5G,Vi,West Bengal,-83.48,1,3 Months Plan,13,28.807558578248265,1
5G,Vi,Tamil Nadu,-92.11,3,3 Months Plan,32,42.436918198314174,0
4G,Vi,Gujarat,-102.55,0,Yearly Plan,24,66.0635187104894,1
4G,Vi,Telangana,-88.72,10,3 Months Plan,64,44.9065614288641,0
4G,Vi,Delhi,-86.81,3,Yearly Plan,21,38.69905417403673,1
4G,Vi,Telangana,-86.1,9,3 Months Plan,32,39.52315827036861,0
5G,Vi,Maharashtra,-100.17,0,Monthly Plan,24,61.29237347983207,1
4G,Vi,Karnataka,-106.03,0,Monthly Plan,18,72.5726125908538,1
5G,Vi,Karnataka,-80.48,1,Monthly Plan,19,26.250447646717213,1
4G,Vi,Rajasthan,-87.35,6,Yearly Plan,33,40.03210200341962,0
4G,Vi,Delhi,-92.66,0,Yearly Plan,3,47.88560146564933,1
5G,Vi,Karnataka,-79.25,6,3 Months Plan,25,20.09184445252636,0
4G,Vi,Telangana,-77.28,2,3 Months Plan,12,22.18063281788492,1
5G,Vi,Uttar Pradesh,-94.36,3,Yearly Plan,13,47.73164595633836,1
4G,Vi,West Bengal,-81.19,1,Yearly Plan,24,31.55579315847823,1
4G,Vi,West Bengal,-93.93,1,Monthly Plan,10,49.3546148785015,1
5G,Vi,Gujarat,-87.75,2,Monthly Plan,9,35.40112148088424,1
5G,Vi,Rajasthan,-105.25,3,Monthly Plan,56,68.48721996305662,0
